language,type,metric,model,n_rows,n_cases,status,reml_loglike,resid_var,rand_intercept_var,estimate_lvl,se_lvl,z_or_t_lvl,p_lvl,p_lvl_fdr_bh,sig_fdr_bh
finnish,delete,bertscore_precision__roberta-large,,15,5,ok,37.47519128564906,7.44102489937102e-05,0.0001083971880295346,-0.021332103013992368,0.0027278242060974206,-7.820189793136002,5.274375338373727e-15,1.9225948814071976e-14,True
finnish,delete,bertscore_precision__xlm-roberta-base,,15,5,ok,38.56688367834788,6.871989290771957e-05,6.939010501699385e-05,-0.01688564419746381,0.002621447937833585,-6.44134257017457,1.1842124228051796e-10,3.186095328023459e-10,True
finnish,delete,bertscore_recall__roberta-large,,15,5,ok,39.0619935425497,5.8233580370732094e-05,8.517390508217439e-05,-0.020854932069778443,0.002413163491575572,-8.642154641649292,5.5162695743046675e-18,2.7101672256366408e-17,True
finnish,delete,bertscore_recall__xlm-roberta-base,,15,5,ok,39.009288405261046,7.435657404286593e-05,3.717090134986482e-05,-0.021254980564117433,0.0027268401867888395,-7.794729103339041,6.454680237493323e-15,2.3154884661483985e-14,True
finnish,modify,bleu_score,,15,5,ok,11.530403579285878,0.004556821335959461,0.003945295771173976,-0.11331513197351155,0.021346712477474047,-5.308317713703525,1.1064166069151998e-07,2.404328395796492e-07,True
finnish,modify,rouge_1,,15,5,ok,12.787380789226354,0.004216216380744147,0.002065903981093466,-0.08711050022486048,0.020533427333847967,-4.242375070101654,2.211666619250128e-05,3.7581703454926984e-05,True
finnish,modify,rouge_2,,15,5,ok,9.019250062552455,0.0069243968201725264,0.005172695253234325,-0.11802566858310196,0.02631424865006129,-4.485238022664464,7.2832583983779294e-06,1.3168131184267296e-05,True
finnish,modify,rouge_3,,15,5,ok,7.631421553399333,0.008037762293040547,0.008026519407976523,-0.13303212731145508,0.028350947590936967,-4.69233442320573,2.7010512112972184e-06,5.044938626059267e-06,True
finnish,modify,rouge_4,,15,5,ok,6.607021003552138,0.009072534186043726,0.0105817612762565,-0.14355207657990005,0.030120647712231764,-4.76590271070448,1.8800996921086802e-06,3.6008689018352688e-06,True
finnish,modify,rouge_l_score,,15,5,ok,11.460311854708454,0.0051156743210317695,0.0026569965261126127,-0.09848305480770968,0.022617856487810176,-4.354216981648407,1.3354338492410726e-05,2.357875390066269e-05,True
finnish,modify,Gemma3n E2B,,15,5,ok,-18.371311485865224,0.5074041900055941,0.2530935161661413,1.1,0.22525634064451863,4.8833253565808885,1.0431154004324156e-06,2.0679936233227236e-06,True
